Category,Datasets,Values,Genes
CD4Tconv,BRCA_GSE176078,0,WNT11
CD4Tconv,BRCA_GSE161529,0,WNT11
CD4Tconv,BRCA_GSE150660,0,WNT11
CD4Tconv,BRCA_GSE148673,0,WNT11
CD4Tconv,BRCA_GSE114727_inDrop,0,WNT11
Tprolif,BRCA_GSE176078,0,WNT11
Tprolif,BRCA_GSE161529,0,WNT11
Tprolif,BRCA_GSE150660,0,WNT11
Tprolif,BRCA_GSE148673,0,WNT11
Tprolif,BRCA_GSE114727_inDrop,0,WNT11
CD8T,BRCA_GSE176078,0,WNT11
CD8T,BRCA_GSE161529,0,WNT11
CD8T,BRCA_GSE150660,0,WNT11
CD8T,BRCA_GSE148673,0,WNT11
CD8T,BRCA_GSE114727_inDrop,0,WNT11
CD8Tex,BRCA_GSE176078,0,WNT11
CD8Tex,BRCA_GSE161529,0,WNT11
CD8Tex,BRCA_GSE150660,0,WNT11
CD8Tex,BRCA_GSE148673,0,WNT11
CD8Tex,BRCA_GSE114727_inDrop,0,WNT11
NK,BRCA_GSE176078,0,WNT11
NK,BRCA_GSE161529,0,WNT11
NK,BRCA_GSE150660,0.01,WNT11
NK,BRCA_GSE148673,0,WNT11
NK,BRCA_GSE114727_inDrop,0,WNT11
B,BRCA_GSE176078,0,WNT11
B,BRCA_GSE161529,0,WNT11
B,BRCA_GSE150660,0,WNT11
B,BRCA_GSE148673,0,WNT11
B,BRCA_GSE114727_inDrop,0,WNT11
Plasma,BRCA_GSE176078,0,WNT11
Plasma,BRCA_GSE161529,0,WNT11
Plasma,BRCA_GSE150660,0,WNT11
Plasma,BRCA_GSE148673,0,WNT11
Plasma,BRCA_GSE114727_inDrop,0,WNT11
DC,BRCA_GSE176078,0,WNT11
DC,BRCA_GSE161529,0,WNT11
DC,BRCA_GSE150660,0,WNT11
DC,BRCA_GSE148673,0,WNT11
DC,BRCA_GSE114727_inDrop,0,WNT11
Mono/Macro,BRCA_GSE176078,0,WNT11
Mono/Macro,BRCA_GSE161529,0,WNT11
Mono/Macro,BRCA_GSE150660,0,WNT11
Mono/Macro,BRCA_GSE148673,0,WNT11
Mono/Macro,BRCA_GSE114727_inDrop,0.01,WNT11
Mast,BRCA_GSE176078,0,WNT11
Mast,BRCA_GSE161529,0,WNT11
Mast,BRCA_GSE150660,0,WNT11
Mast,BRCA_GSE148673,0,WNT11
Mast,BRCA_GSE114727_inDrop,0.06,WNT11
Neutrophils,BRCA_GSE176078,0,WNT11
Neutrophils,BRCA_GSE161529,0,WNT11
Neutrophils,BRCA_GSE150660,0,WNT11
Neutrophils,BRCA_GSE148673,0,WNT11
Neutrophils,BRCA_GSE114727_inDrop,0,WNT11
Endothelial,BRCA_GSE176078,0.01,WNT11
Endothelial,BRCA_GSE161529,0.01,WNT11
Endothelial,BRCA_GSE150660,0,WNT11
Endothelial,BRCA_GSE148673,0.01,WNT11
Endothelial,BRCA_GSE114727_inDrop,0.01,WNT11
Fibroblasts,BRCA_GSE176078,0.03,WNT11
Fibroblasts,BRCA_GSE161529,0.04,WNT11
Fibroblasts,BRCA_GSE150660,0,WNT11
Fibroblasts,BRCA_GSE148673,0.04,WNT11
Fibroblasts,BRCA_GSE114727_inDrop,0.09,WNT11
Myofibroblasts,BRCA_GSE176078,0.03,WNT11
Myofibroblasts,BRCA_GSE161529,0.04,WNT11
Myofibroblasts,BRCA_GSE150660,0,WNT11
Myofibroblasts,BRCA_GSE148673,0.04,WNT11
Myofibroblasts,BRCA_GSE114727_inDrop,0.03,WNT11
SMC,BRCA_GSE176078,0.01,WNT11
SMC,BRCA_GSE161529,0.04,WNT11
SMC,BRCA_GSE150660,0,WNT11
SMC,BRCA_GSE148673,0.04,WNT11
SMC,BRCA_GSE114727_inDrop,0.03,WNT11
Epithelial,BRCA_GSE176078,0.01,WNT11
Epithelial,BRCA_GSE161529,0,WNT11
Epithelial,BRCA_GSE150660,0,WNT11
Epithelial,BRCA_GSE148673,0.01,WNT11
Epithelial,BRCA_GSE114727_inDrop,0.03,WNT11
Malignant,BRCA_GSE176078,0.03,WNT11
Malignant,BRCA_GSE161529,0.01,WNT11
Malignant,BRCA_GSE150660,0.01,WNT11
Malignant,BRCA_GSE148673,0,WNT11
Malignant,BRCA_GSE114727_inDrop,0.03,WNT11
Pericytes,BRCA_GSE176078,0.03,WNT11
Pericytes,BRCA_GSE161529,0.01,WNT11
Pericytes,BRCA_GSE150660,0.01,WNT11
Pericytes,BRCA_GSE148673,0,WNT11
Pericytes,BRCA_GSE114727_inDrop,0.03,WNT11
